# DESI 2024 Year 1 (DR1) Baryon Acoustic Oscillation (BAO) Official Measurements
# Source: DESI Collaboration (Adame et al.), "DESI 2024 VI: Cosmological Constraints from the Measurements of Baryon Acoustic Oscillations", arXiv:2404.03002 (2024).
# Data columns: tracer, z_eff, observable, value, error, description
tracer,z_eff,observable,value,error,description
BGS,0.295,DV_over_rs,7.93,0.15,Bright Galaxy Survey (Isotropic D_V/r_s)
LRG1,0.510,DM_over_rs,13.62,0.25,Luminous Red Galaxies Bin 1 (Transverse D_M/r_s)
LRG1,0.510,DH_over_rs,20.98,0.61,Luminous Red Galaxies Bin 1 (Radial D_H/r_s)
LRG2,0.706,DM_over_rs,16.85,0.32,Luminous Red Galaxies Bin 2 (Transverse D_M/r_s)
LRG2,0.706,DH_over_rs,20.08,0.60,Luminous Red Galaxies Bin 2 (Radial D_H/r_s)
LRG3_ELG1,0.930,DM_over_rs,21.71,0.28,LRG/ELG Combined Tracer (Transverse D_M/r_s)
LRG3_ELG1,0.930,DH_over_rs,17.88,0.35,LRG/ELG Combined Tracer (Radial D_H/r_s)
ELG2,1.317,DM_over_rs,27.79,0.69,Emission Line Galaxies Bin 2 (Transverse D_M/r_s)
ELG2,1.317,DH_over_rs,13.82,0.42,Emission Line Galaxies Bin 2 (Radial D_H/r_s)
QSO,1.491,DM_over_rs,30.34,0.79,Quasars (Transverse D_M/r_s)
QSO,1.491,DH_over_rs,13.23,0.47,Quasars (Radial D_H/r_s)
LymanAlpha,2.330,DM_over_rs,39.71,0.94,Lyman-alpha Forest Auto + Cross (Transverse D_M/r_s)
LymanAlpha,2.330,DH_over_rs,8.52,0.17,Lyman-alpha Forest Auto + Cross (Radial D_H/r_s)
