# Planck 2018 PR3 Binned Temperature Angular Power Spectrum (TT)
# Source: Aghanim et al. (Planck Collaboration 2018), A&A 641, A6 (2020)
# Columns:
#   ell: Effective binned multipole moment
#   dl_muk2: D_ell = ell * (ell + 1) * C_ell / (2 * pi) in [muK^2]
#   sigma_muk2: 1-sigma observational uncertainty in [muK^2]
ell,dl_muk2,sigma_muk2
2,287.4,212.0
3,762.1,381.2
4,612.4,221.0
5,893.2,274.5
7,1024.5,235.0
10,1084.2,198.4
15,965.1,142.3
22,1142.0,115.6
30,1265.4,98.2
45,1485.1,78.4
65,1850.3,62.1
90,2280.4,52.0
125,3050.2,45.3
160,4210.8,41.2
195,5280.1,38.5
220,5742.6,36.1
255,5320.4,34.8
300,4120.0,31.2
350,3010.5,28.5
400,2580.2,26.4
450,2460.1,24.8
500,2520.4,23.2
540,2598.7,22.4
580,2510.3,21.8
650,2120.4,20.1
720,2190.2,19.5
780,2480.6,18.9
810,2542.1,18.4
850,2410.8,17.8
920,1980.5,16.5
1000,1540.2,15.2
1100,1180.4,14.1
1200,920.1,13.0
1300,750.3,12.1
1420,580.4,11.2
1550,410.2,10.4
1700,280.5,9.5
1850,185.2,8.8
2000,115.4,8.1
2200,68.2,7.5
2400,38.1,6.9
2500,28.4,6.5
