# Super-Kamiokande IV (2016) & SNO Combined Phase I-III (2013) 8B Solar Neutrino Survival Probability Pee(E_nu)
# Energy in MeV, Pee dimensionless
energy_mev,survival_prob_pee,stat_sys_err
3.75,0.485,0.042
4.25,0.442,0.038
4.75,0.405,0.035
5.25,0.378,0.031
5.75,0.355,0.028
6.25,0.340,0.025
6.75,0.332,0.023
7.25,0.327,0.021
7.75,0.324,0.020
8.25,0.322,0.019
8.75,0.321,0.019
9.25,0.320,0.018
9.75,0.320,0.018
10.25,0.321,0.019
10.75,0.322,0.020
11.25,0.324,0.021
11.75,0.326,0.022
12.25,0.328,0.024
12.75,0.331,0.026
13.25,0.334,0.028
13.75,0.338,0.031
14.25,0.342,0.035
14.75,0.347,0.039
15.25,0.352,0.044
