# SPARC Galaxy Categorization Metadata
# Galaxy ID | Type | Morphology | Surface Brightness | Notes
CamB | LTG | Spiral | Low | Automated categorization.
D512-2 | LTG | Spiral | Low | Automated categorization.
D564-8 | LTG | Spiral | Low | Automated categorization.
D631-7 | LTG | Spiral | Low | Automated categorization.
DDO064 | LTG | Dwarf/LSB | Low | Automated categorization.
DDO154 | LTG | Dwarf/LSB | Low | Automated categorization.
DDO161 | LTG | Dwarf/LSB | Low | Automated categorization.
DDO168 | LTG | Dwarf/LSB | Low | Automated categorization.
DDO170 | LTG | Dwarf/LSB | Low | Automated categorization.
ESO079-G014 | LTG | Spiral | High | Automated categorization.
ESO116-G012 | LTG | Spiral | Medium | Automated categorization.
ESO444-G084 | LTG | Spiral | Low | Automated categorization.
ESO563-G021 | LTG | Spiral | High | Automated categorization.
F561-1 | LTG | Spiral | Low | Automated categorization.
F563-1 | LTG | Spiral | Low | Automated categorization.
F563-V1 | LTG | Spiral | Low | Automated categorization.
F563-V2 | LTG | Spiral | Low | Automated categorization.
F565-V2 | LTG | Spiral | Low | Automated categorization.
F567-2 | LTG | Spiral | Low | Automated categorization.
F568-1 | LTG | Spiral | Low | Automated categorization.
F568-3 | LTG | Spiral | Medium | Automated categorization.
F568-V1 | LTG | Spiral | Low | Automated categorization.
F571-8 | LTG | Spiral | Medium | Automated categorization.
F571-V1 | LTG | Spiral | Low | Automated categorization.
F574-1 | LTG | Spiral | Medium | Automated categorization.
F574-2 | LTG | Spiral | Low | Automated categorization.
F579-V1 | LTG | Spiral | Medium | Automated categorization.
F583-1 | LTG | Spiral | Low | Automated categorization.
F583-4 | LTG | Spiral | Low | Automated categorization.
IC2574 | LTG | Spiral | Low | Automated categorization.
IC4202 | LTG | Spiral | High | Automated categorization.
KK98-251 | LTG | Spiral | Low | Automated categorization.
NGC0024 | LTG | Spiral | Medium | Automated categorization.
NGC0055 | LTG | Spiral | Low | Automated categorization.
NGC0100 | LTG | Spiral | Medium | Automated categorization.
NGC0247 | LTG | Spiral | Medium | Automated categorization.
NGC0289 | LTG | Spiral | High | Automated categorization.
NGC0300 | LTG | Spiral | Medium | Automated categorization.
NGC0801 | LTG | Spiral | High | Automated categorization.
NGC0891 | LTG | Spiral | High | Automated categorization.
NGC1003 | LTG | Spiral | Medium | Automated categorization.
NGC1090 | LTG | Spiral | High | Automated categorization.
NGC1705 | LTG | Spiral | Low | Automated categorization.
NGC2366 | LTG | Spiral | Low | Automated categorization.
NGC2403 | LTG | Spiral | Medium | Automated categorization.
NGC2683 | LTG | Spiral | High | Automated categorization.
NGC2841 | LTG | Spiral | High | Automated categorization.
NGC2903 | LTG | Spiral | High | Automated categorization.
NGC2915 | LTG | Spiral | Low | Automated categorization.
NGC2955 | LTG | Spiral | High | Automated categorization.
NGC2976 | LTG | Spiral | Medium | Automated categorization.
NGC2998 | LTG | Spiral | High | Automated categorization.
NGC3109 | LTG | Spiral | Low | Automated categorization.
NGC3198 | LTG | Spiral | High | Automated categorization.
NGC3521 | LTG | Spiral | High | Automated categorization.
NGC3726 | LTG | Spiral | High | Automated categorization.
NGC3741 | LTG | Spiral | Low | Automated categorization.
NGC3769 | LTG | Spiral | High | Automated categorization.
NGC3877 | LTG | Spiral | High | Automated categorization.
NGC3893 | LTG | Spiral | High | Automated categorization.
NGC3917 | LTG | Spiral | Medium | Automated categorization.
NGC3949 | LTG | Spiral | High | Automated categorization.
NGC3953 | LTG | Spiral | High | Automated categorization.
NGC3972 | LTG | Spiral | Medium | Automated categorization.
NGC3992 | LTG | Spiral | High | Automated categorization.
NGC4010 | LTG | Spiral | Medium | Automated categorization.
NGC4013 | LTG | Spiral | High | Automated categorization.
NGC4051 | LTG | Spiral | High | Automated categorization.
NGC4068 | LTG | Spiral | Low | Automated categorization.
NGC4085 | LTG | Spiral | High | Automated categorization.
NGC4088 | LTG | Spiral | High | Automated categorization.
NGC4100 | LTG | Spiral | High | Automated categorization.
NGC4138 | LTG | Spiral | High | Automated categorization.
NGC4157 | LTG | Spiral | High | Automated categorization.
NGC4183 | LTG | Spiral | Medium | Automated categorization.
NGC4214 | LTG | Spiral | Medium | Automated categorization.
NGC4217 | LTG | Spiral | Medium | Automated categorization.
NGC4389 | LTG | Spiral | High | Automated categorization.
NGC4559 | LTG | Spiral | Medium | Automated categorization.
NGC5005 | LTG | Spiral | High | Automated categorization.
NGC5033 | LTG | Spiral | High | Automated categorization.
NGC5055 | LTG | Spiral | High | Automated categorization.
NGC5371 | LTG | Spiral | High | Automated categorization.
NGC5585 | LTG | Spiral | Medium | Automated categorization.
NGC5907 | LTG | Spiral | High | Automated categorization.
NGC5985 | LTG | Spiral | High | Automated categorization.
NGC6015 | LTG | Spiral | High | Automated categorization.
NGC6195 | LTG | Spiral | High | Automated categorization.
NGC6503 | LTG | Spiral | High | Automated categorization.
NGC6674 | LTG | Spiral | High | Automated categorization.
NGC6789 | LTG | Spiral | Low | Automated categorization.
NGC6946 | LTG | Spiral | High | Automated categorization.
NGC7331 | LTG | Spiral | High | Automated categorization.
NGC7793 | LTG | Spiral | Medium | Automated categorization.
NGC7814 | LTG | Spiral | High | Automated categorization.
PGC51017 | LTG | Spiral | Low | Automated categorization.
UGC00128 | LTG | Dwarf/LSB | Medium | Automated categorization.
UGC00191 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC00634 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC00731 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC00891 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC01230 | LTG | Dwarf/LSB | Medium | Automated categorization.
UGC01281 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC02023 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC02259 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC02455 | LTG | Dwarf/LSB | Medium | Automated categorization.
UGC02487 | LTG | Dwarf/LSB | High | Automated categorization.
UGC02885 | LTG | Dwarf/LSB | High | Automated categorization.
UGC02916 | LTG | Dwarf/LSB | Medium | Automated categorization.
UGC02953 | LTG | Dwarf/LSB | High | Automated categorization.
UGC03205 | LTG | Dwarf/LSB | High | Automated categorization.
UGC03546 | LTG | Dwarf/LSB | High | Automated categorization.
UGC03580 | LTG | Dwarf/LSB | Medium | Automated categorization.
UGC04278 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC04305 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC04325 | LTG | Dwarf/LSB | Medium | Automated categorization.
UGC04483 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC04499 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC05005 | LTG | Dwarf/LSB | Low | Automated categorization.
UGC05253 | LTG | Dwarf/LSB | High | Automated categorization.
